Precursor m/z,Fragment m/z,Fragment Intensity
"Precursor(Weight=535.772527, Charge=2)",819.3327026367188,20.071428
"Precursor(Weight=535.772527, Charge=2)",821.1522216796875,138.24074
"Precursor(Weight=535.772527, Charge=2)",826.3543090820312,127.74612
"Precursor(Weight=535.772527, Charge=2)",827.3428344726562,57.259617
"Precursor(Weight=535.772527, Charge=2)",827.5238647460938,44.336113
"Precursor(Weight=535.772527, Charge=2)",837.43603515625,66.94231
"Precursor(Weight=535.772527, Charge=2)",839.7820434570312,12.164474
"Precursor(Weight=535.772527, Charge=2)",843.2799072265625,44.094696
"Precursor(Weight=535.772527, Charge=2)",855.4547729492188,106.7377
"Precursor(Weight=535.772527, Charge=2)",859.3714599609375,62.09
"Precursor(Weight=535.772527, Charge=2)",862.4859619140625,83.285446
"Precursor(Weight=535.772527, Charge=2)",891.4675903320312,30.140625
"Precursor(Weight=535.772527, Charge=2)",907.4452514648438,109.76004
"Precursor(Weight=535.772527, Charge=2)",911.417724609375,33.011364
"Precursor(Weight=535.772527, Charge=2)",912.425048828125,49.03125
"Precursor(Weight=535.772527, Charge=2)",921.4376831054688,35.884804
"Precursor(Weight=535.772527, Charge=2)",922.3873901367188,108.8524
"Precursor(Weight=535.772527, Charge=2)",923.1271362304688,15.083333
"Precursor(Weight=535.772527, Charge=2)",928.332763671875,30.727272
"Precursor(Weight=535.772527, Charge=2)",939.3921508789062,109.5625
"Precursor(Weight=535.772527, Charge=2)",939.4456176757812,491.52786
"Precursor(Weight=535.772527, Charge=2)",939.563720703125,22.289286
"Precursor(Weight=535.772527, Charge=2)",940.44873046875,125.00357
"Precursor(Weight=535.772527, Charge=2)",954.4688110351562,15.004311
"Precursor(Weight=535.772527, Charge=2)",962.395263671875,109.85
"Precursor(Weight=535.772527, Charge=2)",963.5275268554688,13.160714
"Precursor(Weight=535.772527, Charge=2)",965.8900756835938,43.015846
"Precursor(Weight=535.772527, Charge=2)",1020.5546875,46.008335
"Precursor(Weight=535.772527, Charge=2)",1031.1781005859375,26.005953
"Precursor(Weight=535.772527, Charge=2)",1089.28662109375,43.09
"Precursor(Weight=535.772527, Charge=2)",1124.5526123046875,63.33654
"Precursor(Weight=535.772527, Charge=2)",1335.44873046875,29.058962
